layer_name,next_layer,layer_type,num_act_in_gradients,num_act_out_gradients,num_weight_gradients,forward_macs,mp_extra_compute
net_vit_encoder_layer_6_attention_output_dense,net_vit_encoder_layer_6_intermediate_dense,net_vit_encoder_layer_6_attention_output_dense,768,768,589824,589824,0
net_vit_encoder_layer_6_intermediate_dense,net_vit_encoder_layer_6_output_dense,net_vit_encoder_layer_6_intermediate_dense,768,768,2359296,2359296,0
net_vit_encoder_layer_6_output_dense,net_vit_encoder_layer_7_attention_attention_query,net_vit_encoder_layer_6_output_dense,3072,768,2359296,2359296,0
net_vit_encoder_layer_7_attention_attention_query,net_vit_encoder_layer_7_attention_attention_key,net_vit_encoder_layer_7_attention_attention_query,768,3072,589824,589824,0
net_vit_encoder_layer_7_attention_attention_key,net_vit_encoder_layer_7_attention_attention_value,net_vit_encoder_layer_7_attention_attention_key,768,768,589824,589824,0
net_vit_encoder_layer_7_attention_attention_value,net_vit_encoder_layer_7_attention_output_dense,net_vit_encoder_layer_7_attention_attention_value,768,768,589824,589824,0
net_vit_encoder_layer_7_attention_output_dense,net_vit_encoder_layer_7_intermediate_dense,net_vit_encoder_layer_7_attention_output_dense,768,768,589824,589824,0
net_vit_encoder_layer_7_intermediate_dense,net_vit_encoder_layer_7_output_dense,net_vit_encoder_layer_7_intermediate_dense,768,768,2359296,2359296,0
net_vit_encoder_layer_7_output_dense,net_vit_encoder_layer_8_attention_attention_query,net_vit_encoder_layer_7_output_dense,3072,768,2359296,2359296,0
net_vit_encoder_layer_8_attention_attention_query,net_vit_encoder_layer_8_attention_attention_key,net_vit_encoder_layer_8_attention_attention_query,768,3072,589824,589824,0
net_vit_encoder_layer_8_attention_attention_key,net_vit_encoder_layer_8_attention_attention_value,net_vit_encoder_layer_8_attention_attention_key,768,768,589824,589824,0
net_vit_encoder_layer_8_attention_attention_value,net_vit_encoder_layer_8_attention_output_dense,net_vit_encoder_layer_8_attention_attention_value,768,768,589824,589824,0
net_vit_encoder_layer_8_attention_output_dense,net_vit_encoder_layer_8_intermediate_dense,net_vit_encoder_layer_8_attention_output_dense,768,768,589824,589824,0
net_vit_encoder_layer_8_intermediate_dense,net_vit_encoder_layer_8_output_dense,net_vit_encoder_layer_8_intermediate_dense,768,768,2359296,2359296,0
net_vit_encoder_layer_8_output_dense,net_vit_encoder_layer_9_attention_attention_query,net_vit_encoder_layer_8_output_dense,3072,768,2359296,2359296,0
net_vit_encoder_layer_9_attention_attention_query,net_vit_encoder_layer_9_attention_attention_key,net_vit_encoder_layer_9_attention_attention_query,768,3072,589824,589824,0
net_vit_encoder_layer_9_attention_attention_key,net_vit_encoder_layer_9_attention_attention_value,net_vit_encoder_layer_9_attention_attention_key,768,768,589824,589824,0
net_vit_encoder_layer_9_attention_attention_value,net_vit_encoder_layer_9_attention_output_dense,net_vit_encoder_layer_9_attention_attention_value,768,768,589824,589824,0
net_vit_encoder_layer_9_attention_output_dense,net_vit_encoder_layer_9_intermediate_dense,net_vit_encoder_layer_9_attention_output_dense,768,768,589824,589824,0
net_vit_encoder_layer_9_intermediate_dense,net_vit_encoder_layer_9_output_dense,net_vit_encoder_layer_9_intermediate_dense,768,768,2359296,2359296,0
net_vit_encoder_layer_9_output_dense,net_vit_encoder_layer_10_attention_attention_query,net_vit_encoder_layer_9_output_dense,3072,768,2359296,2359296,0
net_vit_encoder_layer_10_attention_attention_query,net_vit_encoder_layer_10_attention_attention_key,net_vit_encoder_layer_10_attention_attention_query,768,3072,589824,589824,0
net_vit_encoder_layer_10_attention_attention_key,net_vit_encoder_layer_10_attention_attention_value,net_vit_encoder_layer_10_attention_attention_key,768,768,589824,589824,0
